Louse	Hippoboscid	Bird host common name	Bird host scientific name	Bird host	Locality	Specific locality (State/Town)	Reference	Secondary Reference	ReferenceId
Olivinirmus glandarii	?	?	?	?	?	?	Eichler (1939)	Bartlow et al. (2016)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L317
Sturnidoecus sturni	Crataerina pallida	Common swift 	Apus apus	Common swift (Apus apus)	Germany	Göttingen	Eichler (1939)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L317
Turdinirmus merulensis	Ornithomya avicularia	Common cuckoo 	Cuculus canorus	Common cuckoo (Cuculus canorus)	UK	Suffolk	Eichler (1939)	Clay & Meinertzhagen (1943)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L317
Sturnidoecus pastoris	Ornithophila metallica	Rosy starling 	Pastor roseus	Rosy starling (Pastor roseus)	India	Deccan	Eichler (1939)	Clay & Meinertzhagen (1943)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L317
Philopterus coarctatus	Ornithomya avicularia	Red-backed shrike 	Lanius collurio	Red-backed shrike (Lanius collurio)	?Germany (Only mentioned freshly shot)	NIL	Eichler (1946)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L319
Guimaraesiella interposita	Ornithomya fringillina*	Grey catbird 	Dumetella carolinensis	Grey catbird (Dumetella carolinensis)	USA	Gates Mills, Ohio	Ewing (1927)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L321
Guimaraesiella interposita	Ornithomya fringillina*	Song sparrow 	Melospiza melodia	Song sparrow (Melospiza melodia)	USA	Gates Mills, Ohio	Ewing (1927)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L321
Degeeriella mimosa (1)	Ornithomya avicularia	NIL	NIL	NIL	Finland	?	Forsius (1908)	Hathaway (1943)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L331
Corvonirmus unicosus	Ornithomya avicularia	Hooded crow 	Corvus cornix	Hooded crow (Corvus cornix)	Finland	Torhola, Lohja	Forsius (1912)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L323
Nirmus quadratulus (2)	Ornithomya avicularia	Black grouse 	Lyrurus tetrix	Black grouse (Lyrurus tetrix)	Finland	Suurniemi, Karislojo 	Forsius (1912)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L323
Trogoninirmus odontopleuron	Stilbometopa ramphastonis	Trogonurus aurantius=? Surucua trogon 	Trogon surrucura	Trogonurus aurantius=? Surucua trogon (Trogon surrucura)	Brazil	State of Espírito Santo	Guimaraes (1944)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L325
NIL	Ornithomya sp. (?avicularia)	NIL	NIL	NIL	Australia	Katoomba	Hardy (1964) 		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L327
Guimaraesiella marginata	?	?	?	?	?	?	Harrison (1913)	Bartlow et al. (2016)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L329
Nirmus hecticus	Ornithomya sp.	Regent bowerbird 	Sericulus chrysocephalus	Regent bowerbird (Sericulus chrysocephalus)	Australia	Numbucca river, New South Wales	Harrison (1913)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L329
Brueelia-complex sp.	Ornithomya sp.	Grey currawong 	Strepera versicolor	Grey currawong (Strepera versicolor)	Australia	Georges Basin, New South Wales	Harrison (1913)	Thompson (1936)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L329
